region;annee;total;CSUM
Ile-de-France;2016;2558179.0;2558179.0
Ile-de-France;2017;2407069.0;4965248.0
Ile-de-France;2019;2539435.0;7504683.0
Ile-de-France;2020;2449593.0;9954276.0
Ile-de-France;2021;1967964.0;11922240.0
Ile-de-France;2022;2369975.0;14292215.0
